R1,G1,B1,,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5
39,38,45,112,242,92,108,113,98,104,81,70,33,78,63
5,242,108,242,188,87,60,45,59,104,50,41,166,75,55
13,242,5,255,94,132,161,147,129,135,151,228,13,13,13
2,40,115,7,26,80,4,104,191,2,94,115,242,242,242
209,44,55,213,19,20,255,249,214,179,120,25,211,31,22
50,64,30,242,183,4,75,70,95,89,34,2,242,58,41
191,149,157,49,31,19,89,43,2,166,99,41,252,226,178
75,57,92,217,158,50,139,146,62,188,94,54,191,54,54
114,50,40,233,184,139,235,150,85,32,32,19,70,64,70
89,141,163,219,104,45,72,68,89,123,121,62,80,49,43
88,99,137,62,57,56,41,45,28,182,95,51,206,195,176
55,42,44,242,172,41,200,187,91,166,109,60,217,72,72
217,54,68,182,88,100,217,181,113,73,60,92,217,143,78
191,59,83,139,176,209,217,147,61,119,111,73,233,201,183
217,65,78,57,72,115,242,192,41,74,39,16,214,207,189
242,183,5,217,103,4,166,33,3,89,2,2,147,105,32
90,115,2,19,13,12,242,206,162,239,133,62,64,18,1
